Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability,Known actives (3D/2D)
Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.113285953487,16 /  18     
Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,0.113285953487,18 /  0     
Serine/threonine-protein kinase Chk1,CHEK1,O14757,CHEMBL4630,Kinase,0.113285953487,90 /  0     
Pyruvate dehydrogenase kinase isoform 1,PDK1,Q15118,CHEMBL4766,Kinase,0.113285953487,179 /  0     
Serine/threonine-protein kinase WEE1,WEE1,P30291,CHEMBL5491,Kinase,0.113285953487,40 /  0     
DNA topoisomerase I,TOP1,P11387,CHEMBL1781,Isomerase,0.113285953487,24 /  0     
Serine/threonine-protein kinase RAF,RAF1,P04049,CHEMBL1906,Kinase,0.113285953487,71 /  0     
Serine/threonine-protein kinase B-raf,BRAF,P15056,CHEMBL5145,Kinase,0.113285953487,122 /  0     
Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.113285953487,286 /  24     
Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.113285953487,244 /  30     
Glucagon receptor,GCGR,P47871,CHEMBL1985,Family B G protein-coupled receptor,0.113285953487,12 /  0     
Matrix metalloproteinase 14,MMP14,P50281,CHEMBL3869,Protease,0.113285953487,105 /  0     
Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.113285953487,85 /  0     
Plasminogen activator inhibitor-1,SERPINE1,P05121,CHEMBL3475,Secreted protein,0.113285953487,11 /  0     
Ribosomal protein S6 kinase 1,RPS6KB1,P23443,CHEMBL4501,Kinase,0.113285953487,117 /  0     
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.113285953487,209 /  0     
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.113285953487,39 /  0     
Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.113285953487,7 /  0     
Type-1 angiotensin II receptor   (by homology),AGTR1,P30556,CHEMBL227,Family A G protein-coupled receptor,0.113285953487,38 /  0     
NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,0.113285953487,9 /  0     
Bone morphogenetic protein 1,BMP1,P13497,CHEMBL3898,Protease,0.113285953487,208 /  0     
Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0.113285953487,418 /  0     
ADAM17,ADAM17,P78536,CHEMBL3706,Protease,0.113285953487,357 /  0     
Elastase 1,CELA1,Q9UNI1,CHEMBL3000,Protease,0.113285953487,4 /  0     
Prolyl endopeptidase,PREP,P48147,CHEMBL3202,Protease,0.113285953487,10 /  0     
Glutamate receptor ionotropic kainate 1,GRIK1,P39086,CHEMBL1918,Ligand-gated ion channel,0.113285953487,0 /  11     
Matrix metalloproteinase 8,MMP8,P22894,CHEMBL4588,Protease,0.113285953487,212 /  0     
Interleukin-8 receptor B,CXCR2,P25025,CHEMBL2434,Family A G protein-coupled receptor,0.113285953487,6 /  0     
"Alkaline phosphatase, tissue-nonspecific isozyme",ALPL,P05186,CHEMBL5979,Enzyme,0.113285953487,9 /  0     
Maternal embryonic leucine zipper kinase,MELK,Q14680,CHEMBL4578,Kinase,0.113285953487,19 /  0     
Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,P20839,CHEMBL1822,Oxidoreductase,0.113285953487,13 /  0     
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.113285953487,21 /  0     
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.113285953487,73 /  0     
Sphingosine kinase 2,SPHK2,Q9NRA0,CHEMBL3023,Enzyme,0.113285953487,5 /  0     
Sphingosine kinase 1,SPHK1,Q9NYA1,CHEMBL4394,Enzyme,0.113285953487,4 /  0     
Mitogen-activated protein kinase kinase kinase 12,MAP3K12,Q12852,CHEMBL1908389,Enzyme,0.113285953487,14 /  0     
Apoptosis regulator Bcl-2,BCL2,P10415,CHEMBL4860,Other ion channel,0.113285953487,17 /  0     
Thyroid hormone receptor alpha,THRA,P10827,CHEMBL1860,Nuclear receptor,0.113285953487,6 /  0     
Thyroid hormone receptor beta-1,THRB,P10828,CHEMBL1947,Nuclear receptor,0.113285953487,5 /  0     
Macrophage colony stimulating factor receptor,CSF1R,P07333,CHEMBL1844,Kinase,0.113285953487,54 /  0     
5-lipoxygenase activating protein,ALOX5AP,P20292,CHEMBL4550,Other cytosolic protein,0.113285953487,138 /  0     
